"","ORI","year","department_name","total_pop","homs_sum","rape_sum","rob_sum","agg_ass_sum","violent_crime","months_reported","violent_per_100k","homs_per_100k","rape_per_100k","rob_per_100k","agg_ass_per_100k","State","US_State"
"112","TX22012",1993,"Fort Worth, Texas",463373,133,507,2750,3589,6979,12,1506.13005073666,28.7025787000969,109.415093240219,593.474371618545,774.538007177803,"TX","Texas"
"113","TXHPD00",1993,"Houston",1724327,446,1109,10772,12742,25069,12,1453.8425716236,25.8651636261568,64.3149472228875,624.707494576145,738.954966198407,"TXHPD","Texas"
"114","TXSPD00",1993,"San Antonio",985456,220,553,2979,2973,6725,12,682.425191992337,22.3246902956601,56.116153334091,302.296601776234,301.687746586352,"TXSPD","Texas"
"115","TX22001",1994,"Arlington, Texas",286748,18,144,654,1627,2443,12,851.96758129089,6.27728876923292,50.2183101538633,228.074825282129,567.397157085664,"TX","Texas"
"116","TX22701",1994,"Austin, Texas",511676,37,249,1542,1421,3249,12,634.972130801523,7.23113845480343,48.6636074390825,301.362581008294,277.714803899343,"TX","Texas"
"117","TX07102",1994,"El Paso, Texas",565183,44,233,1086,4006,5369,12,949.957801278524,7.78508907734309,41.225585341385,192.150153136241,708.796973723555,"TX","Texas"
"118","TX22012",1994,"Fort Worth, Texas",472288,132,413,2379,3111,6035,12,1277.82200691104,27.949048038485,87.446642726472,503.718070329968,658.708245816112,"TX","Texas"
"119","TXHPD00",1994,"Houston",1758016,375,931,9981,11699,22986,12,1307.49663256762,21.3308638829226,52.9574247333358,567.742273107867,665.466070843496,"TXHPD","Texas"
"120","TXSPD00",1994,"San Antonio",999900,194,565,2781,2931,6471,12,647.164716471647,19.4019401940194,56.5056505650565,278.127812781278,293.129312931293,"TXSPD","Texas"
"121","TX22001",1995,"Arlington, Texas",292324,9,154,521,1892,2576,12,881.213995429729,3.07877560515045,52.6812714659077,178.226898920376,647.227049438294,"TX","Texas"
"122","TX22701",1995,"Austin, Texas",523691,46,308,1336,2360,4050,12,773.35680773586,8.78380571749371,58.8133078475666,255.11227040373,450.647423767069,"TX","Texas"
"123","TX07102",1995,"El Paso, Texas",590215,37,242,1076,3593,4948,12,838.338571537491,6.26890201028439,41.0020077429411,182.306447650432,608.761214133833,"TX","Texas"
"124","TX22012",1995,"Fort Worth, Texas",460321,108,332,1965,2939,5344,12,1160.92900389076,23.4618885516846,72.1235833255489,426.876027815372,638.467504198157,"TX","Texas"
"125","TXHPD00",1995,"Houston",1734335,316,837,9222,11885,22260,12,1283.48906064861,18.2202400343648,48.2605724960864,531.731182268708,685.277065849447,"TXHPD","Texas"
"126","TXSPD00",1995,"San Antonio",999900,142,658,2345,2033,5178,12,517.851785178518,14.2014201420142,65.8065806580658,234.523452345235,203.320332033203,"TXSPD","Texas"
"127","TX22001",1996,"Arlington, Texas",298632,17,156,618,1687,2478,12,829.783814192719,5.69262503683463,52.2382062203649,206.943663103753,564.909319831766,"TX","Texas"
"128","TX22701",1996,"Austin, Texas",537484,40,270,1376,2135,3821,12,710.904882749998,7.44208199685944,50.2340534788012,256.007620691965,397.221126582373,"TX","Texas"
"129","TX07102",1996,"El Paso, Texas",602951,30,245,1195,3668,5138,12,852.142213878076,4.9755286913862,40.6334843129873,198.19189287355,608.341308000153,"TX","Texas"
"130","TX22012",1996,"Fort Worth, Texas",470254,68,319,1692,2905,4984,12,1059.85276042309,14.4602704070566,67.8356802919273,359.805551893232,617.751257830874,"TX","Texas"
"131","TXHPD00",1996,"Houston",1772143,261,1002,8276,12917,22456,12,1267.16636298538,14.7279310981112,56.5417124915992,467.005202176122,728.891517219547,"TXHPD","Texas"
"132","TXSPD00",1996,"San Antonio",1021477,117,637,2350,1637,4741,12,464.131840462389,11.4540023906559,62.3606796824598,230.059022376422,160.258136012852,"TXSPD","Texas"
"133","TX22001",1997,"Arlington, Texas",303487,12,127,527,1754,2420,12,797.398241110822,3.95404086501234,41.8469324880473,173.648294655125,577.948973102637,"TX","Texas"
"134","TX22701",1997,"Austin, Texas",546223,40,283,1284,1920,3527,12,645.706973159314,7.32301642369508,51.8103411976427,235.068827200612,351.504788337364,"TX","Texas"
"135","TX07102",1997,"El Paso, Texas",612754,24,225,1066,3534,4849,12,791.345303335433,3.91674309755628,36.7194665395901,173.968672583125,576.740421115162,"TX","Texas"
"136","TX22012",1997,"Fort Worth, Texas",477900,74,265,1402,2572,4313,12,902.490060682151,15.484410964637,55.4509311571458,293.366813140824,538.187905419544,"TX","Texas"
"137","TXHPD00",1997,"Houston",1801370,254,790,8146,11967,21157,12,1174.49496771901,14.1003791558647,43.855509972965,452.211372455409,664.327706134775,"TXHPD","Texas"
"138","TXSPD00",1997,"San Antonio",1038086,95,618,2036,1421,4170,12,401.700822475209,9.15145758636568,59.5326398776209,196.13018574569,136.886539265533,"TXSPD","Texas"
"139","TX22001",1998,"Arlington, Texas",305948,13,138,506,1202,1859,12,607.619595486815,4.24908808032738,45.1057042373214,165.387582203512,392.877220965654,"TX","Texas"
"140","TX22701",1998,"Austin, Texas",559758,32,219,1097,1678,3026,12,540.590755290679,5.71675616963045,39.1240500359084,195.977547440144,299.772401644997,"TX","Texas"
"141","TX07102",1998,"El Paso, Texas",624510,17,241,823,3293,4374,12,700.389105058366,2.72213415317609,38.5902547597316,131.783318121407,527.293398024051,"TX","Texas"
"142","TX22012",1998,"Fort Worth, Texas",497830,64,293,1357,2615,4329,12,869.57395094711,12.8557941465962,58.8554325773859,272.583010264548,525.27971395858,"TX","Texas"
"143","TXHPD00",1998,"Houston",1797157,254,654,7711,11564,20183,12,1123.05157534929,14.1334340850577,36.3908105969595,429.066575708188,643.460754959083,"TXHPD","Texas"
"144","TXSPD00",1998,"San Antonio",1100791,89,734,1780,2366,4969,12,451.402673168658,8.08509517247143,66.6793242313936,161.701903449429,214.936350315364,"TXSPD","Texas"
"145","TX22001",1999,"Arlington, Texas",310910,11,109,546,1285,1951,12,627.512785050336,3.53800135087324,35.0583770222894,175.61352159789,413.302885079283,"TX","Texas"
"146","TX22701",1999,"Austin, Texas",560389,21,193,1002,1574,2790,12,497.868444955201,3.74739689751226,34.4403619628508,178.804366252728,280.87631984211,"TX","Texas"
"147","TX07102",1999,"El Paso, Texas",623888,14,185,715,3366,4280,12,686.020567794219,2.24399251147642,29.652758187367,114.603903264689,539.519913830688,"TX","Texas"
"148","TX22012",1999,"Fort Worth, Texas",498883,67,286,1447,2446,4246,12,851.101360439221,13.4300026258662,57.3280709104139,290.047967158632,490.295319744309,"TX","Texas"
"149","TXHPD00",1999,"Houston",1812277,241,748,8350,12178,21517,12,1187.29090530863,13.2981878598029,41.2740436478529,460.746342860391,671.972330940579,"TXHPD","Texas"
"150","TXSPD00",1999,"San Antonio",1130173,96,599,1674,3971,6340,12,560.976062956733,8.49427477032277,53.0007352856598,148.118916307503,351.362136593247,"TXSPD","Texas"
"151","TX22001",2000,"Arlington, Texas",332969,14,96,595,1452,2157,12,647.808054203244,4.20459562301596,28.831512843538,178.695313978178,436.076631758512,"TX","Texas"
"152","TX22701",2000,"Austin, Texas",656562,32,379,1005,1682,3098,12,471.85185862112,4.87387329757129,57.7249368681099,153.070083251848,256.182965203591,"TX","Texas"
"153","TX07102",2000,"El Paso, Texas",563662,20,188,731,3457,4396,12,779.9000109995,3.54822570973385,33.3533216714982,129.687649690772,613.310813927495,"TX","Texas"
